145.77,46.823,55.118
145.92,47.905,67.645
146.45,48.959,68.031
147.3,50.444,77.474
147.88,51.403,84.412
150.98,53.479,63.212
153.8,55.075,52.806
155.23,57.118,65.14
155.25,58.363,71.885
156.62,59.09,72.463
157.98,59.196,73.234
158.42,59.145,72.078
158.19,59.042,73.041
159.54,58.642,74.776
161.01,58.293,62.056
161.41,58.219,58.973
161.07,58.319,56.467
158.42,56.712,47.409
155.94,55.056,60.9
154.04,53.394,65.718
153.37,52.562,63.983
151.25,51.017,66.103
149.45,49.889,66.103
148.12,46.797,59.744
145.65,44.669,51.842
143.85,44.088,56.853
143.78,44.52,56.467
144.61,45.242,54.925
145.56,46.135,47.602
146.09,46.667,26.403
149.86,50.707,46.831
153.37,54.482,71.499
155.8,56.162,71.499
156.48,55.954,74.198
158.8,57.229,64.947
160.97,59.828,66.103
162.98,60.639,60.707
163.9,60.15,69.958
165.83,61.572,60.322
167.3,63.239,63.212
168.44,66.459,65.525
169.7,70.824,37.581
170.4,73.579,48.18
170.88,75.281,54.54
173.22,75.559,60.9
177.21,75.871,47.217
180.04,74.816,50.878
182.61,75.769,58.78
184.51,76.767,66.874
184.82,76.884,65.14
189.25,77.308,78.823
190.77,77.476,82.485
191.49,77.789,87.881
191.44,78.017,90.964
192.64,77.831,86.146
194.3,77.925,94.433
199.1,75.672,74.968
200.26,75.813,67.26
203.02,76.553,88.652
206.59,78.571,52.42
209.77,79.909,64.369
212.28,79.815,47.217
213.18,80.398,52.227
215.95,79.677,47.409
216.98,79.086,52.227
216.62,78.854,39.893
218.23,77.352,32.377
218.68,76.704,24.283
218.33,76.808,27.945
217.91,76.6,39.508
217.66,76.34,29.101
